活动,章名称,地点cn,级别,地点jp,关卡特性,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
Free,第三特异点 封锁终局四海 俄刻阿诺斯,海盗船,,海賊船,"阳光,水边,",敌人1|近代兵|海盗|弓|28|3136,敌人1|近代兵|海盗|弓|28|3136,敌人1|近代兵|海盗|弓|28|3136,敌人1|近代兵|海盗|剑|34|3838,敌人1|近代兵|海盗|剑|34|3838,敌人1|近代兵|海盗|剑|34|3838,敌人2|近代兵|海盗首领|剑|40|13332,敌人1|近代兵|海盗|弓|38|8232,敌人1|近代兵|海盗|弓|38|8232
Free,第三特异点 封锁终局四海 俄刻阿诺斯,海盗岛,,海賊島,"阳光,水边,沙滩·沙漠,",敌人1|近代兵|海盗|弓|30|3332,敌人1|近代兵|海盗|弓|30|3332,敌人1|近代兵|海盗|弓|30|3332,敌人1|近代兵|海盗|狂|34|3420,敌人1|近代兵|海盗|狂|34|3420,敌人1|近代兵|海盗|狂|34|3420,敌人3|弗朗西斯·德雷克|影从者|骑|48|61304,敌人1|近代兵|海盗|弓|40|8624,敌人1|近代兵|海盗|弓|40|8624
Free,第三特异点 封锁终局四海 俄刻阿诺斯,王者的居岛,,王の住まう島,"阳光,森林,",敌人1|近代兵僵尸|海盗僵尸|弓|32|6860,敌人1|近代兵僵尸|海盗僵尸|弓|32|6860,敌人1|近代兵僵尸|海盗僵尸|弓|32|6860,敌人3|血斧埃里克|影从者|狂|48|72362,敌人1|近代兵僵尸|海盗僵尸|狂|38|14760,敌人1|近代兵僵尸|海盗僵尸|狂|38|14760,,,
Free,第三特异点 封锁终局四海 俄刻阿诺斯,地图上标记的岛,,地図に記された島,"无,",敌人1|龙牙兵|龙牙兵|弓|28|9719,敌人1|龙牙兵|龙牙兵|弓|28|9719,敌人1|龙牙兵|龙牙兵|弓|28|9719,敌人1|龙牙兵|龙牙兵|剑|32|11398,敌人1|龙牙兵|龙牙兵|剑|32|11398,敌人1|龙牙兵|龙牙兵|剑|32|11398,敌人1|龙牙兵|龙牙兵|剑|40|14161,敌人3|阿斯忒里俄斯|影从者|狂|46|64202,敌人1|龙牙兵|龙牙兵|剑|40|14161
Free,第三特异点 封锁终局四海 俄刻阿诺斯,潮眼之海,,潮目の海,"水边,山丘,",敌人1|魔偶||狂|40|20922,敌人1|魔偶||狂|40|20922,,敌人1|近代兵|海盗|弓|36|3920,敌人1|石魔偶||狂|30|30759,敌人1|近代兵|海盗|弓|36|3920,敌人2|近代兵|海盗首领|弓|44|9408,敌人1|金属魔偶||狂|32|54999,敌人1|近代兵|海盗|弓|34|3724
Free,第三特异点 封锁终局四海 俄刻阿诺斯,翼龙之岛,,翼竜の島,"阳光,",敌人1|双足飞龙||骑|24|9071,敌人1|双足飞龙||骑|24|9071,,敌人1|恐惧飞龙||骑|32|22116,敌人1|恐惧飞龙||骑|32|22116,敌人1|恐惧飞龙||骑|32|22116,敌人1|双足飞龙||骑|40|14877,敌人2|恶魔飞龙||骑|34|52876,敌人1|双足飞龙||骑|40|14877
Free,第三特异点 封锁终局四海 俄刻阿诺斯,暴风雨海域,,嵐の海域,"水边,",敌人1|鬼魂||杀|26|8772,敌人1|鬼魂||杀|26|8772,敌人1|鬼魂||杀|26|8772,敌人1|鬼魂||杀|40|13320,敌人1|恐怖鬼魂||杀|34|27887,敌人1|鬼魂||杀|40|13320,敌人1|恐怖鬼魂||杀|32|26262,敌人2|恐怖鬼魂||杀|40|54601,
Free,第三特异点 封锁终局四海 俄刻阿诺斯,群岛,寂静的入海口,群島,"阳光,水边,沙滩·沙漠,",敌人1|近代兵僵尸|海盗僵尸|剑|36|7878,敌人1|近代兵僵尸|海盗僵尸|剑|36|7878,敌人1|近代兵僵尸|海盗僵尸|剑|36|7878,敌人1|龙牙兵|龙牙兵|剑|33|11743,敌人1|龙牙兵|龙牙兵|剑|33|11743,敌人1|龙牙兵|龙牙兵|剑|33|11743,敌人3|赫拉克勒斯|影从者|狂|40|96896,敌人3|美狄亚〔Lily〕|影从者|术|55|75744,
Free,第三特异点 封锁终局四海 俄刻阿诺斯,群岛,隐藏之岛,群島,"水边,沙滩·沙漠,",敌人1|毒寄居蟹||剑|26|7565,敌人1|大寄居蟹||剑|29|5711,敌人1|大寄居蟹||剑|29|5711,敌人1|大寄居蟹||剑|29|11421,敌人1|大寄居蟹||剑|29|11421,敌人1|毒寄居蟹||剑|26|15130,敌人1|大寄居蟹||剑|39|20318,敌人2|千年寄居蟹||剑|36|131519,敌人1|大寄居蟹||剑|39|20318
Free,第三特异点 封锁终局四海 俄刻阿诺斯,暗礁海域,,暗礁海域,"水边,",敌人1|骷髅兵|骷髅兵|弓|34|7252,敌人1|骷髅兵|骷髅兵|弓|34|7252,敌人1|骷髅兵|骷髅兵|弓|34|7252,敌人1|骷髅兵|骷髅兵|弓|50|10388,敌人1|蛇女||术|40|33795,敌人1|骷髅兵|骷髅兵|弓|50|10388,敌人1|蛇女||术|40|56325,敌人2|那伽||术|42|70383,敌人1|蛇女||术|40|56325
Free,第三特异点 封锁终局四海 俄刻阿诺斯,火山臼之岛,,カルデラの島,"阳光,森林,",敌人1|狼人|狼人|剑|40|23603,敌人1|半人马|半人马|骑|52|30528,敌人1|狼人|狼人|剑|40|23603,敌人1|狼人|狼人|剑|42|24755,敌人1|狼人|狼人|剑|42|24755,敌人1|狼人|狼人|剑|42|24755,敌人1|半人马|半人马|骑|54|31680,敌人2|半人马|半人马|骑|58|67968,敌人1|半人马|半人马|骑|54|31680
Free,第三特异点 封锁终局四海 俄刻阿诺斯,丰硕之海,,豊かな海,"阳光,水边,",敌人1|亚马逊人|亚马逊人|剑|36|23543,敌人1|亚马逊人|亚马逊人|剑|36|23543,敌人1|亚马逊人|亚马逊人|枪|36|23776,敌人1|亚马逊人|亚马逊人|枪|38|25061,敌人1|亚马逊队长|亚马逊队长|弓|42|68453,敌人1|亚马逊人|亚马逊人|枪|38|25061,敌人1|亚马逊队长|亚马逊队长|枪|44|74613,敌人2|亚马逊队长|亚马逊队长|弓|50|81389,
